Wavelength (nm),Current (A)
349.989,2.244574143111111e-09
359.994,3.861624377888888e-09
369.997,5.643003296111112e-09
379.995,9.491282762555558e-09
389.991,1.674794423666666e-08
399.982,2.580658112555555e-08
409.97,3.672680193555554e-08
420.034,4.972314951555556e-08
430.014,5.993987197222221e-08
439.989,7.511760467444442e-08
449.961,9.264389767555554e-08
460.008,1.1082818235000004e-07
469.972,1.2645458336666664e-07
480.01,1.445316066888889e-07
489.964,1.6045908872222227e-07
499.993,1.7593616427777782e-07
510.018,1.897833613111111e-07
520.037,2.0209624366666657e-07
529.972,2.1415328444444435e-07
539.982,2.221685611222222e-07
549.986,2.3071833718888895e-07
559.985,2.4464075348888887e-07
569.979,2.504794250777778e-07
579.967,2.559515597666667e-07
590.029,2.6368313177777775e-07
600.006,2.6826726732222223e-07
609.977,2.6440319906666676e-07
620.021,2.584607246222222e-07
629.981,2.55099238011111e-07
640.013,2.525780751777777e-07
650.039,2.482859536555556e-07
659.98,2.3825129132222216e-07
669.994,2.2514967676666648e-07
680.001,2.1283951975555553e-07
689.983,2.507154618444444e-07
699.979,2.5807291030000007e-07
709.968,2.596772657e-07
720.029,2.544834433777777e-07
730.004,2.4342654885555545e-07
739.972,2.2674844818888885e-07
750.011,2.0234916567777784e-07
