Wavelength (nm),Power (W)
349.973,1.0898965434300009e-07
359.99,1.3377030527000002e-07
370.003,1.68373031355e-07
380.013,2.3083501201099997e-07
390.019,3.1345184453e-07
400.022,4.039060027400002e-07
410.021,4.991825758499999e-07
420.016,5.9575656731e-07
430.007,6.3701345649e-07
439.994,7.396773941299998e-07
449.977,8.423912626600004e-07
460.035,9.380762247999999e-07
470.01,1.0236394458399997e-06
479.98,1.1247956215e-06
490.025,1.2031705168e-06
499.985,1.2884872644000005e-06
510.021,1.3481336253599998e-06
519.972,1.4086215730800003e-06
529.998,1.4577423036199998e-06
540.019,1.4750800209900007e-06
550.034,1.4884255596700002e-06
559.965,1.54970584553e-06
569.97,1.5768196174599997e-06
579.97,1.584500813549999e-06
589.964,1.6025536688999996e-06
600.032,1.5946444415200008e-06
610.014,1.53876156046e-06
619.991,1.4831180123800014e-06
629.962,1.4499230075800005e-06
640.006,1.4211735311400002e-06
649.964,1.3760714659400003e-06
659.996,1.3012236371699997e-06
670.021,1.2145097576599997e-06
680.039,1.1465114514500001e-06
690.015,1.229192901e-06
700.014,1.2613780626199997e-06
710.006,1.2757770911799997e-06
719.99,1.27330819167e-06
729.968,1.25124340059e-06
740.018,1.22631921047e-06
749.981,1.1960083707200002e-06
